	copy_number
Ignicoccus_hospitalis	1
Lysinibacillus_sphaericus	11.29
Frankia_sp._EAN1pec	3
Shewanella_sediminis	12
Citrobacter_koseri	7
Serratia_proteamaculans	7
Acaryochloris_marina	2
Dinoroseobacter_shibae	2
Streptococcus_suis	4
Rickettsia_akari	1
Salinispora_arenicola	3
Shewanella_pealeana	11
Caldivirga_maquilingensis	1
Alkaliphilus_oremlandii	8
Mycobacterium_marinum	1.8
Thermococcus_onnurineus	1
Desulfococcus_oleovorans	1
Candidatus_Desulforudis_audaxviator	2
Acinetobacter_baumannii	5.97
Nitrosopumilus_maritimus	1
Brucella_canis	3
Petrotoga_mobilis	2
Delftia_acidovorans	5
Lachnoclostridium_phytofermentans	8
Acholeplasma_laidlawii	2
Methylorubrum_extorquens	5
Chloroflexus_aurantiacus	3
Renibacterium_salmoninarum	2
Thermotoga_neapolitana	1
Anoxybacillus_flavithermus	8.5
Thermoanaerobacter_sp._X514	4
Thermoanaerobacter_pseudethanolicus	4
Caulobacter_sp._K31	2
Heliobacterium_modesticaldum	10
Shewanella_halifaxensis	10
Campylobacter_lari	3
Cellvibrio_japonicus	3
Francisella_philomiragia	3
Methylobacterium_sp._4-46	6
Synechococcus_sp._PCC_7002	2
Shewanella_woodyi	10
Klebsiella_variicola	7.98
Candidatus_Korarchaeum_cryptofilum	1
Thermotoga_sp._RQ2	1
Methylacidiphilum_infernorum	1
Borrelia_duttonii	1
Borrelia_recurrentis	1
Methylobacterium_radiotolerans	6
Polynucleobacter_necessarius	1
Leptothrix_cholodnii	2
Pyrobaculum_neutrophilum	1
Beijerinckia_indica	3
Exiguobacterium_sibiricum	9
Burkholderia_ambifaria	6
Methylorubrum_populi	5
Opitutus_terrae	1
Natranaerobius_thermophilus	4
Nostoc_punctiforme	4
Paraburkholderia_phymatum	6
Mycoplasma_arthritidis	1
Paraburkholderia_phytofirmans	6.5
Elusimicrobium_minutum	1
Ralstonia_pickettii	2.67
Akkermansia_muciniphila	3
Rhizobium_etli	3
Sulfurihydrogenibium_sp._YO3AOP1	3
Desulfobacterium_autotrophicum	6
Geobacter_lovleyi	2
Chlorobium_limicola	2
Halothermothrix_orenii	4
Chlorobaculum_parvum	2
Chloroherpeton_thalassium	1
Candidatus_Amoebophilus_asiaticus	1
Alteromonas_mediterranea	4.2
Prosthecochloris_aestuarii	1
Pelodictyon_phaeoclathratiforme	3
Stenotrophomonas_maltophilia	3.72
Deinococcus_deserti	4
Geobacter_bemidjiensis	4
Streptococcus_equi	5.67
Hydrogenobaculum_sp._Y04AAS1	2
Anaeromyxobacter_sp._K	2
Acidithiobacillus_ferrooxidans	2
Edwardsiella_tarda	8.2
Desulfurococcus_amylolyticus	1
Coprothermobacter_proteolyticus	2
Dictyoglomus_thermophilum	2
Thermodesulfovibrio_yellowstonii	1
Laribacter_hongkongensis	7
Azotobacter_vinelandii	6
Ureaplasma_urealyticum	2
Thermosipho_africanus	3
Gluconacetobacter_diazotrophicus	4
